column,q1,q3,iqr,lower_bound,upper_bound,n_outliers,pct_outliers
energia_kwh,6775.0,177957.0,171182.0,-249998.0,434730.0,80913,16.487
e1_kwh,6878.0,178830.0,171952.0,-251050.0,436758.0,80567,16.463
clientes_facturados,3.0,52.0,49.0,-70.5,125.5,76093,15.505
e2_kwh,0.0,0.0,0.0,0.0,0.0,27367,6.177
mes,3.0,9.0,6.0,-6.0,18.0,0,0.0
anio,2017.0,2022.0,5.0,2009.5,2029.5,0,0.0
