fecha;valor,
02/11/2016;7015,
03/11/2016;7184,
04/11/2016;7056,
05/11/2016;6360,
06/11/2016;6467,
07/11/2016;7198,
08/11/2016;7170,
09/11/2016;7263,
10/11/2016;7283,
11/11/2016;7141,
12/11/2016;6336,
13/11/2016;6468,
14/11/2016;7250,
15/11/2016;7233,
16/11/2016;7195,
17/11/2016;7284,
18/11/2016;7178,
19/11/2016;6503,
20/11/2016;6182,
21/11/2016;7256,
22/11/2016;7091,
23/11/2016;7091,
24/11/2016;7051,
25/11/2016;6976,
26/11/2016;6533,
27/11/2016;6303,
28/11/2016;7240,
29/11/2016;7306,
30/11/2016;7174,
01/12/2016;7210,
02/12/2016;7213,
03/12/2016;6439,
04/12/2016;6373,
05/12/2016;7121,
06/12/2016;7111,
07/12/2016;7109,
08/12/2016;6548,
09/12/2016;7148,
10/12/2016;6582,
11/12/2016;6440,
12/12/2016;7169,
13/12/2016;7339,
14/12/2016;7586,
15/12/2016;7568,
16/12/2016;7515,
17/12/2016;6642,
18/12/2016;6487,
19/12/2016;7468,
20/12/2016;7580,
21/12/2016;7462,
22/12/2016;7409,
23/12/2016;7262,
24/12/2016;6255,
25/12/2016;6117,
26/12/2016;7454,
27/12/2016;7407,
28/12/2016;7280,
29/12/2016;7268,
30/12/2016;7135,
31/12/2016;6360,
01/01/2017;5873,
02/01/2017;6445,
03/01/2017;6940,
04/01/2017;7369,
05/01/2017;7369,
06/01/2017;7391,
07/01/2017;6645,
08/01/2017;6317,
09/01/2017;6949,
10/01/2017;7413,
11/01/2017;7572,
12/01/2017;7549,
13/01/2017;7555,
14/01/2017;6663,
15/01/2017;6411,
16/01/2017;7169,
17/01/2017;7524,
18/01/2017;7680,
19/01/2017;7677,
20/01/2017;7770,
21/01/2017;6991,
22/01/2017;6610,
23/01/2017;7762,
24/01/2017;7707,
25/01/2017;7694,
26/01/2017;7870,
27/01/2017;8146,
28/01/2017;6712,
29/01/2017;6589,
30/01/2017;7851,
31/01/2017;7695,
01/02/2017;7741,
02/02/2017;7702,
03/02/2017;7627,
04/02/2017;6618,
05/02/2017;6574,
06/02/2017;7723,
07/02/2017;7684,
08/02/2017;7593,
09/02/2017;7513,
10/02/2017;7420,
11/02/2017;6748,
12/02/2017;6538,
13/02/2017;7663,
14/02/2017;7609,
15/02/2017;7570,
16/02/2017;7511,
17/02/2017;7474,
18/02/2017;6691,
19/02/2017;6517,
20/02/2017;7556,
21/02/2017;7828,
22/02/2017;8063,
23/02/2017;7668,
24/02/2017;7828,
25/02/2017;6748,
26/02/2017;6497,
27/02/2017;7708,
28/02/2017;7875,
01/03/2017;7836,
02/03/2017;7918,
03/03/2017;7899,
04/03/2017;6626,
05/03/2017;6749,
06/03/2017;7918,
07/03/2017;7753,
08/03/2017;7699,
09/03/2017;7582,
10/03/2017;7384,
11/03/2017;6786,
12/03/2017;6742,
13/03/2017;7483,
14/03/2017;7243,
15/03/2017;7213,
16/03/2017;7278,
17/03/2017;7313,
18/03/2017;6645,
19/03/2017;6732,
20/03/2017;7497,
21/03/2017;7429,
22/03/2017;7466,
23/03/2017;7413,
24/03/2017;7392,
25/03/2017;6645,
26/03/2017;6687,
27/03/2017;7417,
28/03/2017;7438,
29/03/2017;7436,
30/03/2017;7420,
31/03/2017;7411,
01/04/2017;6753,
02/04/2017;6680,
03/04/2017;7243,
04/04/2017;7250,
05/04/2017;7200,
06/04/2017;7072,
07/04/2017;7003,
08/04/2017;6401,
09/04/2017;6438,
10/04/2017;7072,
11/04/2017;7046,
12/04/2017;6969,
13/04/2017;7047,
14/04/2017;6080,
15/04/2017;6031,
16/04/2017;6361,
17/04/2017;7050,
18/04/2017;6965,
19/04/2017;6080,
20/04/2017;7025,
21/04/2017;7027,
22/04/2017;6490,
23/04/2017;6365,
24/04/2017;7138,
25/04/2017;7060,
26/04/2017;7065,
27/04/2017;7058,
28/04/2017;7039,
29/04/2017;6341,
30/04/2017;6608,
01/05/2017;5998,
02/05/2017;7081,
03/05/2017;7088,
04/05/2017;7042,
05/05/2017;7040,
06/05/2017;6416,
07/05/2017;6347,
08/05/2017;7071,
09/05/2017;7267,
10/05/2017;7143,
11/05/2017;7162,
12/05/2017;7272,
13/05/2017;6766,
14/05/2017;6822,
15/05/2017;7043,
16/05/2017;7062,
17/05/2017;7062,
18/05/2017;7099,
19/05/2017;7423,
20/05/2017;6566,
21/05/2017;6460,
22/05/2017;7006,
23/05/2017;7417,
24/05/2017;7677,
25/05/2017;7569,
26/05/2017;7578,
27/05/2017;6778,
28/05/2017;6827,
29/05/2017;7571,
30/05/2017;7326,
31/05/2017;7326,
01/06/2017;7324,
02/06/2017;7297,
03/06/2017;6805,
04/06/2017;6921,
05/06/2017;7252,
06/06/2017;7094,
07/06/2017;7315,
08/06/2017;7600,
09/06/2017;7517,
10/06/2017;6920,
11/06/2017;7017,
12/06/2017;7404,
13/06/2017;7341,
14/06/2017;7419,
15/06/2017;7422,
16/06/2017;7676,
17/06/2017;7013,
18/06/2017;7116,
19/06/2017;7623,
20/06/2017;7673,
21/06/2017;7880,
22/06/2017;7880,
23/06/2017;7761,
24/06/2017;6975,
25/06/2017;7168,
26/06/2017;7389,
27/06/2017;7856,
28/06/2017;7707,
29/06/2017;7521,
30/06/2017;7539,
01/07/2017;7027,
02/07/2017;7070,
03/07/2017;7463,
04/07/2017;7683,
05/07/2017;7702,
06/07/2017;7740,
07/07/2017;7714,
08/07/2017;7076,
09/07/2017;6665,
10/07/2017;7680,
11/07/2017;7491,
12/07/2017;7629,
13/07/2017;7671,
14/07/2017;7775,
15/07/2017;7253,
16/07/2017;6857,
17/07/2017;7690,
18/07/2017;7594,
19/07/2017;7569,
20/07/2017;7625,
21/07/2017;7410,
22/07/2017;6986,
23/07/2017;6848,
24/07/2017;7690,
25/07/2017;7599,
26/07/2017;7519,
27/07/2017;7511,
28/07/2017;7583,
29/07/2017;6965,
30/07/2017;6901,
31/07/2017;7621,
01/08/2017;7530,
02/08/2017;7513,
03/08/2017;7544,
04/08/2017;7457,
05/08/2017;6933,
06/08/2017;6946,
07/08/2017;7583,
08/08/2017;7568,
09/08/2017;7539,
10/08/2017;7600,
11/08/2017;7615,
12/08/2017;7035,
13/08/2017;6796,
14/08/2017;7555,
15/08/2017;6765,
16/08/2017;7401,
17/08/2017;7571,
18/08/2017;7499,
19/08/2017;6853,
20/08/2017;6916,
21/08/2017;7336,
22/08/2017;7476,
23/08/2017;7439,
24/08/2017;7461,
25/08/2017;7478,
26/08/2017;6908,
27/08/2017;6823,
28/08/2017;7552,
29/08/2017;7271,
30/08/2017;7388,
31/08/2017;7448,
01/09/2017;7285,
02/09/2017;6847,
03/09/2017;6924,
04/09/2017;7684,
05/09/2017;7448,
06/09/2017;7425,
07/09/2017;7366,
08/09/2017;7383,
09/09/2017;6609,
10/09/2017;6965,
11/09/2017;7383,
12/09/2017;7628,
13/09/2017;7590,
14/09/2017;7234,
15/09/2017;6947,
16/09/2017;6028,
17/09/2017;6153,
18/09/2017;5641,
19/09/2017;5955,
20/09/2017;7194,
21/09/2017;7238,
22/09/2017;6863,
23/09/2017;6286,
24/09/2017;6804,
25/09/2017;7499,
26/09/2017;6986,
27/09/2017;6918,
28/09/2017;6939,
29/09/2017;7034,
30/09/2017;6849,
01/10/2017;6364,
02/10/2017;7218,
03/10/2017;7073,
04/10/2017;7210,
05/10/2017;7193,
06/10/2017;7198,
07/10/2017;6462,
08/10/2017;6439,
09/10/2017;6530,
10/10/2017;7287,
11/10/2017;7198,
12/10/2017;7205,
13/10/2017;7224,
14/10/2017;6625,
15/10/2017;6385,
16/10/2017;7222,
17/10/2017;7058,
18/10/2017;7198,
19/10/2017;6944,
20/10/2017;6945,
21/10/2017;6228,
22/10/2017;6370,
23/10/2017;7040,
24/10/2017;7011,
25/10/2017;7028,
26/10/2017;7156,
27/10/2017;6393,
28/10/2017;6600,
29/10/2017;6409,
30/10/2017;7046,
31/10/2017;6989,
01/11/2017;6537,
02/11/2017;6807,
03/11/2017;6870,
04/11/2017;6243,
05/11/2017;6374,
06/11/2017;7161,
07/11/2017;7156,
