fecha;sistema;dmin_mw;dmax_mw,,
09/03/2006;SING;1313,81;1434,67
10/03/2006;SIC;3881,57;5652,53
10/03/2006;SING;1367,92;1487,95
11/03/2006;SIC;3809,70;5282,20
11/03/2006;SING;1368,57;1470,17
12/03/2006;SIC;3279,68;5045,79
12/03/2006;SING;1366,62;1520,92
13/03/2006;SIC;3527,80;5793,5
13/03/2006;SING;1419,50;1603,25
14/03/2006;SIC;3852,29;5861,20
14/03/2006;SING;1467,71;1585,58
15/03/2006;SIC;3834,10;5791,80
15/03/2006;SING;1497,49;1588,97
16/03/2006;SIC;3756,90;5817,5
16/03/2006;SING;1441,83;1580,3
17/03/2006;SIC;3815,30;5783,64
17/03/2006;SING;1483,51;1603,8
18/03/2006;SIC;3782,40;5420,33
18/03/2006;SING;1488,24;1598,20
19/03/2006;SIC;3220,70;5058,55
19/03/2006;SING;1332,03;1550,97
20/03/2006;SIC;3526,30;5861,51
20/03/2006;SING;1305,68;1459,73
21/03/2006;SIC;3821,30;5864,41
21/03/2006;SING;1381,06;1483,14
22/03/2006;SIC;3813,30;5869,70
22/03/2006;SING;1421,37;1508,98
23/03/2006;SIC;3858,20;5889,25
23/03/2006;SING;1361,67;1549,94
24/03/2006;SIC;3907,40;5818,45
24/03/2006;SING;1482,34;1590,61
25/03/2006;SIC;3771,70;5385,22
25/03/2006;SING;1480,15;1597,96
26/03/2006;SIC;3215,50;5077,2
26/03/2006;SING;1402,91;1542,43
27/03/2006;SIC;3505,40;5806,76
27/03/2006;SING;1411,62;1501,87
28/03/2006;SIC;3793,30;5901,50
28/03/2006;SING;1421,04;1522,97
29/03/2006;SIC;3837,00;5856,3
29/03/2006;SING;1405,85;1505,47
30/03/2006;SIC;3753,60;5758,47
30/03/2006;SING;1435,88;1522,32
31/03/2006;SIC;3816,50;5790,32
31/03/2006;SING;1435,31;1526,50
01/04/2006;SIC;3774,90;5342,82
01/04/2006;SING;1206,69;1311,84
02/04/2006;SIC;3235,20;5021,16
02/04/2006;SING;1124,03;1243,99
03/04/2006;SIC;3477,50;5734,44
03/04/2006;SING;1112,51;1211,24
04/04/2006;SIC;3692,70;5833,11
04/04/2006;SING;1081,14;1198,28
05/04/2006;SIC;3719,90;5785,82
05/04/2006;SING;984,01;1167,54
06/04/2006;SIC;3757,60;5786,62
06/04/2006;SING;1149,28;1257,87
07/04/2006;SIC;3761,70;5846,24
07/04/2006;SING;1184,43;1438,45
08/04/2006;SIC;3769,80;5442,54
08/04/2006;SING;1226,41;1418,26
09/04/2006;SIC;3269,30;5140,6
09/04/2006;SING;1124,51;1336,73
10/04/2006;SIC;3586,30;5946,12
10/04/2006;SING;1278,84;1518,9
11/04/2006;SIC;3821,60;5974,78
11/04/2006;SING;1302,59;1492,45
12/04/2006;SIC;3713,30;5896,7
12/04/2006;SING;1289,94;1427,83
13/04/2006;SIC;3810,00;5826,88
13/04/2006;SING;1254,30;1480,63
14/04/2006;SIC;3287,30;4823,93
14/04/2006;SING;1267,33;1476,80
15/04/2006;SIC;3193,80;5023,72
15/04/2006;SING;1322,76;1508,2
16/04/2006;SIC;3131,60;5043,74
16/04/2006;SING;1294,76;1512,6
17/04/2006;SIC;3468,20;5968,62
17/04/2006;SING;1306,10;1512,3
18/04/2006;SIC;3773,60;5976,51
18/04/2006;SING;1269,67;1492,71
19/04/2006;SIC;3697,69;5780,91
19/04/2006;SING;1224,78;1461,76
20/04/2006;SIC;3706,73;5834,30
20/04/2006;SING;1270,29;1478,69
