column,q1,q3,iqr,lower_bound,upper_bound,n_outliers,pct_outliers
total,193932.181,230376.15412328253,36443.973123282514,139266.22131507623,285042.1138082063,158,4.25
hidro,40590.474635,62946.3716575,22355.8970225,7056.629101249993,96480.21719125,38,1.022
termo,72278.770465,119587.221275,47308.45081000001,1316.09424999998,190549.89749,18,0.484
ernc,29003.6328825,87849.39773979859,58845.76485729859,-59265.0144034479,176118.04502574648,0,0.0
