column,missing_pct,max_missing_assoc_spearman,pattern_inference
fecha,0.0,0.0,Sin nulos
hidro,0.0,0.0,Sin nulos
termo,0.0,0.0,Sin nulos
ernc,0.0,0.0,Sin nulos
total,0.0,0.0,Sin nulos
