column,missing_pct,max_missing_assoc_spearman,pattern_inference
fecha,0.0,0.0,Sin nulos
sistema,0.0,0.0,Sin nulos
dmin_mw,0.0,0.0,Sin nulos
dmax_mw,0.0,0.0,Sin nulos
