column,q1,q3,iqr,lower_bound,upper_bound,n_outliers,pct_outliers
dmin_mw,1878.7649999999999,6986.41,5107.645,-5782.702500000001,14647.8775,0,0.0
dmax_mw,2078.675,8873.965,6795.29,-8114.259999999999,19066.9,0,0.0
