target,predictor,risk_level,reason
dmax_mw,dmin_mw,Alto,Correlacion extrema con target (r=0.987)
dmax_mw,fecha,Bajo,Sin evidencia fuerte de leakage directo
dmax_mw,sistema,Bajo,Sin evidencia fuerte de leakage directo
