anio,mes,region_nombre,region_cod,generacion_mwh,cltes_libres_mwh,cltes_regulados_mwh
2019,1,Región del Biobío,8,1334489.497,255904.6,164261.477
2019,1,Región de Antofagasta,2,1552684.673,1281828.9,74124.2
2019,1,Región de Tarapacá,1,75208.623,154142.2,36443.959
