column,q1,q3,iqr,lower_bound,upper_bound,n_outliers,pct_outliers
cltes_libres_mwh,18438.03513,244147.952475,225709.917345,-320126.84088750003,582712.8284925,48,12.5
generacion_mwh,41187.5588175,599631.430575,558443.8717575,-796478.24881875,1437297.23821125,28,7.292
cltes_regulados_mwh,39492.09925,147507.97775000002,108015.87850000002,-122531.71850000005,309531.79550000007,24,6.25
anio,2019.0,2020.0,1.0,2017.5,2021.5,0,0.0
mes,3.75,9.25,5.5,-4.5,17.5,0,0.0
region_cod,4.75,12.25,7.5,-6.5,23.5,0,0.0
